estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
0,551,16,"(100,)","(16,)",7,7.033502330619748e-06,14217.266405766424,"Launch_Tax, Trip_Count, Latencies, L1_BW"
1,551,16,"(100,)","(32,)",7,7.039217313878677e-06,14205.723724829939,"Launch_Tax, Trip_Count, Latencies, L1_BW"
2,551,16,"(100,)","(64,)",7,7.052552274816177e-06,14178.863552288438,"Launch_Tax, Trip_Count, Latencies, L1_BW"
3,551,16,"(100,)","(128,)",7,7.079222196691177e-06,14125.44678237937,"Launch_Tax, Trip_Count, Latencies, L1_BW"
4,551,32,"(100,)","(16,)",7,7.033929411764706e-06,14216.403171852733,"Launch_Tax, Trip_Count, Latencies"
5,551,32,"(100,)","(32,)",4,6.780393784466912e-06,14747.989508969496,"Launch_Tax, Trip_Count, Latencies, L1_BW"
6,551,32,"(100,)","(64,)",4,6.793728745404412e-06,14719.041655533076,"Launch_Tax, Trip_Count, Latencies, L1_BW"
7,551,32,"(100,)","(128,)",4,6.820398667279412e-06,14661.485534523434,"Launch_Tax, Trip_Count, Latencies, L1_BW"
8,551,16,"(100,)","(16,)",7,7.033502330619748e-06,14217.266405766424,"Launch_Tax, Trip_Count, Latencies, L1_BW"
9,551,16,"(100,)","(32,)",7,7.039217313878677e-06,14205.723724829939,"Launch_Tax, Trip_Count, Latencies, L1_BW"
10,551,16,"(100,)","(64,)",7,7.052552274816177e-06,14178.863552288438,"Launch_Tax, Trip_Count, Latencies, L1_BW"
11,551,16,"(100,)","(128,)",7,7.079222196691177e-06,14125.44678237937,"Launch_Tax, Trip_Count, Latencies, L1_BW"
12,551,32,"(100,)","(16,)",7,7.033929411764706e-06,14216.403171852733,"Launch_Tax, Trip_Count, Latencies"
13,551,32,"(100,)","(32,)",4,6.780393784466912e-06,14747.989508969496,"Launch_Tax, Trip_Count, Latencies, L1_BW"
14,551,32,"(100,)","(64,)",4,6.793728745404412e-06,14719.041655533076,"Launch_Tax, Trip_Count, Latencies, L1_BW"
15,551,32,"(100,)","(128,)",4,6.820398667279412e-06,14661.485534523434,"Launch_Tax, Trip_Count, Latencies, L1_BW"
16,705,16,"(512,)","(16,)",32,0.00018704442325367647,160.3897057081082,Trip_Count
17,705,16,"(512, 512)","(1, 16)",16384,1.947466541963465e-05,1540.4629221385005,Compute
18,705,16,"(512,)","(32,)",32,0.00018704442325367647,160.3897057081082,Trip_Count
19,705,16,"(512, 512)","(1, 32)",16384,1.947466541963465e-05,1540.4629221385005,Compute
20,705,16,"(512,)","(64,)",32,0.00018704442325367647,160.3897057081082,Trip_Count
21,705,16,"(512, 512)","(1, 64)",16384,1.947466541963465e-05,1540.4629221385005,Compute
22,705,16,"(512,)","(128,)",32,0.00018704442325367647,160.3897057081082,Trip_Count
23,705,16,"(512, 512)","(1, 128)",16384,1.947466541963465e-05,1540.4629221385005,Compute
24,705,16,"(512,)","(256,)",32,0.00036894237591911764,81.31351115540284,Trip_Count
25,705,16,"(512, 512)","(1, 256)",16384,1.947466541963465e-05,1540.4629221385005,Compute
26,705,16,"(512,)","(512,)",32,0.00073273828125,40.9423129208182,Trip_Count
27,705,16,"(512, 512)","(1, 512)",16384,1.947466541963465e-05,1540.4629221385005,Compute
28,705,16,"(512, 512)","(2, 8)",16384,1.947466541963465e-05,1540.4629221385005,Compute
29,705,16,"(512, 512)","(2, 16)",16384,1.947466541963465e-05,1540.4629221385005,Compute
30,705,16,"(512, 512)","(2, 32)",16384,1.947466541963465e-05,1540.4629221385005,Compute
31,705,16,"(512, 512)","(2, 64)",16384,1.947466541963465e-05,1540.4629221385005,Compute
32,705,16,"(512, 512)","(2, 128)",16384,1.947466541963465e-05,1540.4629221385005,Compute
33,705,16,"(512, 512)","(2, 256)",16384,1.947466541963465e-05,1540.4629221385005,Compute
34,705,16,"(512, 512)","(4, 4)",16384,1.947466541963465e-05,1540.4629221385005,Compute
35,705,16,"(512, 512)","(4, 8)",16384,1.947466541963465e-05,1540.4629221385005,Compute
36,705,16,"(512, 512)","(4, 16)",16384,1.947466541963465e-05,1540.4629221385005,Compute
37,705,16,"(512, 512)","(4, 32)",16384,1.947466541963465e-05,1540.4629221385005,Compute
38,705,16,"(512, 512)","(4, 64)",16384,1.947466541963465e-05,1540.4629221385005,Compute
39,705,16,"(512, 512)","(4, 128)",16384,1.947466541963465e-05,1540.4629221385005,Compute
40,705,16,"(512, 512)","(8, 2)",16384,1.947466541963465e-05,1540.4629221385005,Compute
41,705,16,"(512, 512)","(8, 4)",16384,1.947466541963465e-05,1540.4629221385005,Compute
42,705,16,"(512, 512)","(8, 8)",16384,1.947466541963465e-05,1540.4629221385005,Compute
43,705,16,"(512, 512)","(8, 16)",16384,1.947466541963465e-05,1540.4629221385005,Compute
44,705,16,"(512, 512)","(8, 32)",16384,1.947466541963465e-05,1540.4629221385005,Compute
45,705,16,"(512, 512)","(8, 64)",16384,1.947466541963465e-05,1540.4629221385005,Compute
46,705,16,"(512, 512)","(16, 1)",16384,1.947466541963465e-05,1540.4629221385005,Compute
47,705,16,"(512, 512)","(16, 2)",16384,1.947466541963465e-05,1540.4629221385005,Compute
48,705,16,"(512, 512)","(16, 4)",16384,1.947466541963465e-05,1540.4629221385005,Compute
49,705,16,"(512, 512)","(16, 8)",16384,1.947466541963465e-05,1540.4629221385005,Compute
50,705,16,"(512, 512)","(16, 16)",16384,1.947466541963465e-05,1540.4629221385005,Compute
51,705,16,"(512, 512)","(16, 32)",16384,1.947466541963465e-05,1540.4629221385005,Compute
52,705,16,"(512, 512)","(32, 1)",16384,1.947466541963465e-05,1540.4629221385005,Compute
53,705,16,"(512, 512)","(32, 2)",16384,1.947466541963465e-05,1540.4629221385005,Compute
54,705,16,"(512, 512)","(32, 4)",16384,1.947466541963465e-05,1540.4629221385005,Compute
55,705,16,"(512, 512)","(32, 8)",16384,1.947466541963465e-05,1540.4629221385005,Compute
56,705,16,"(512, 512)","(32, 16)",16384,1.947466541963465e-05,1540.4629221385005,Compute
57,705,16,"(512, 512)","(64, 1)",16384,1.947466541963465e-05,1540.4629221385005,Compute
58,705,16,"(512, 512)","(64, 2)",16384,1.947466541963465e-05,1540.4629221385005,Compute
59,705,16,"(512, 512)","(64, 4)",16384,1.947466541963465e-05,1540.4629221385005,Compute
60,705,16,"(512, 512)","(64, 8)",16384,1.947466541963465e-05,1540.4629221385005,Compute
61,705,16,"(512, 512)","(128, 1)",16384,1.947466541963465e-05,1540.4629221385005,Compute
62,705,16,"(512, 512)","(128, 2)",16384,1.947466541963465e-05,1540.4629221385005,Compute
63,705,16,"(512, 512)","(128, 4)",16384,1.947466541963465e-05,1540.4629221385005,Compute
64,705,16,"(512, 512)","(256, 1)",16384,1.947466541963465e-05,1540.4629221385005,Compute
65,705,16,"(512, 512)","(256, 2)",16384,1.947466541963465e-05,1540.4629221385005,Compute
66,705,16,"(512, 512)","(512, 1)",16384,1.947466541963465e-05,1540.4629221385005,Compute
67,705,32,"(512,)","(16,)",32,0.00036894237591911764,81.31351115540284,Trip_Count
68,705,32,"(512, 512)","(1, 16)",16384,3.380286025103401e-05,887.4988618480094,Compute
69,705,32,"(512,)","(32,)",16,0.00036894237591911764,81.31351115540284,Trip_Count
70,705,32,"(512, 512)","(1, 32)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
71,705,32,"(512,)","(64,)",16,0.00036894237591911764,81.31351115540284,Trip_Count
72,705,32,"(512, 512)","(1, 64)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
73,705,32,"(512,)","(128,)",16,0.00036894237591911764,81.31351115540284,Trip_Count
74,705,32,"(512, 512)","(1, 128)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
75,705,32,"(512,)","(256,)",16,0.00036894237591911764,81.31351115540284,Trip_Count
76,705,32,"(512, 512)","(1, 256)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
77,705,32,"(512,)","(512,)",16,0.00073273828125,40.9423129208182,Trip_Count
78,705,32,"(512, 512)","(1, 512)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
79,705,32,"(512, 512)","(2, 8)",16384,3.380286025103401e-05,887.4988618480094,Compute
80,705,32,"(512, 512)","(2, 16)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
81,705,32,"(512, 512)","(2, 32)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
82,705,32,"(512, 512)","(2, 64)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
83,705,32,"(512, 512)","(2, 128)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
84,705,32,"(512, 512)","(2, 256)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
85,705,32,"(512, 512)","(4, 4)",16384,3.380286025103401e-05,887.4988618480094,Compute
86,705,32,"(512, 512)","(4, 8)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
87,705,32,"(512, 512)","(4, 16)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
88,705,32,"(512, 512)","(4, 32)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
89,705,32,"(512, 512)","(4, 64)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
90,705,32,"(512, 512)","(4, 128)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
91,705,32,"(512, 512)","(8, 2)",16384,3.380286025103401e-05,887.4988618480094,Compute
92,705,32,"(512, 512)","(8, 4)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
93,705,32,"(512, 512)","(8, 8)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
94,705,32,"(512, 512)","(8, 16)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
95,705,32,"(512, 512)","(8, 32)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
96,705,32,"(512, 512)","(8, 64)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
97,705,32,"(512, 512)","(16, 1)",16384,3.380286025103401e-05,887.4988618480094,Compute
98,705,32,"(512, 512)","(16, 2)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
99,705,32,"(512, 512)","(16, 4)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
100,705,32,"(512, 512)","(16, 8)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
101,705,32,"(512, 512)","(16, 16)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
102,705,32,"(512, 512)","(16, 32)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
103,705,32,"(512, 512)","(32, 1)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
104,705,32,"(512, 512)","(32, 2)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
105,705,32,"(512, 512)","(32, 4)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
106,705,32,"(512, 512)","(32, 8)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
107,705,32,"(512, 512)","(32, 16)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
108,705,32,"(512, 512)","(64, 1)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
109,705,32,"(512, 512)","(64, 2)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
110,705,32,"(512, 512)","(64, 4)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
111,705,32,"(512, 512)","(64, 8)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
112,705,32,"(512, 512)","(128, 1)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
113,705,32,"(512, 512)","(128, 2)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
114,705,32,"(512, 512)","(128, 4)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
115,705,32,"(512, 512)","(256, 1)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
116,705,32,"(512, 512)","(256, 2)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
117,705,32,"(512, 512)","(512, 1)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
118,705,16,"(512,)","(16,)",32,0.00018704442325367647,160.3897057081082,Trip_Count
119,705,16,"(512, 512)","(1, 16)",16384,1.947466541963465e-05,1540.4629221385005,Compute
120,705,16,"(512,)","(32,)",32,0.00018704442325367647,160.3897057081082,Trip_Count
121,705,16,"(512, 512)","(1, 32)",16384,1.947466541963465e-05,1540.4629221385005,Compute
122,705,16,"(512,)","(64,)",32,0.00018704442325367647,160.3897057081082,Trip_Count
123,705,16,"(512, 512)","(1, 64)",16384,1.947466541963465e-05,1540.4629221385005,Compute
124,705,16,"(512,)","(128,)",32,0.00018704442325367647,160.3897057081082,Trip_Count
125,705,16,"(512, 512)","(1, 128)",16384,1.947466541963465e-05,1540.4629221385005,Compute
126,705,16,"(512,)","(256,)",32,0.00036894237591911764,81.31351115540284,Trip_Count
127,705,16,"(512, 512)","(1, 256)",16384,1.947466541963465e-05,1540.4629221385005,Compute
128,705,16,"(512,)","(512,)",32,0.00073273828125,40.9423129208182,Trip_Count
129,705,16,"(512, 512)","(1, 512)",16384,1.947466541963465e-05,1540.4629221385005,Compute
130,705,16,"(512, 512)","(2, 8)",16384,1.947466541963465e-05,1540.4629221385005,Compute
131,705,16,"(512, 512)","(2, 16)",16384,1.947466541963465e-05,1540.4629221385005,Compute
132,705,16,"(512, 512)","(2, 32)",16384,1.947466541963465e-05,1540.4629221385005,Compute
133,705,16,"(512, 512)","(2, 64)",16384,1.947466541963465e-05,1540.4629221385005,Compute
134,705,16,"(512, 512)","(2, 128)",16384,1.947466541963465e-05,1540.4629221385005,Compute
135,705,16,"(512, 512)","(2, 256)",16384,1.947466541963465e-05,1540.4629221385005,Compute
136,705,16,"(512, 512)","(4, 4)",16384,1.947466541963465e-05,1540.4629221385005,Compute
137,705,16,"(512, 512)","(4, 8)",16384,1.947466541963465e-05,1540.4629221385005,Compute
138,705,16,"(512, 512)","(4, 16)",16384,1.947466541963465e-05,1540.4629221385005,Compute
139,705,16,"(512, 512)","(4, 32)",16384,1.947466541963465e-05,1540.4629221385005,Compute
140,705,16,"(512, 512)","(4, 64)",16384,1.947466541963465e-05,1540.4629221385005,Compute
141,705,16,"(512, 512)","(4, 128)",16384,1.947466541963465e-05,1540.4629221385005,Compute
