region_id,estimation_id,instruction_name,count_per_iteration,count_total,impact
705,0,Add,379.48595428466797,,
705,0,Send,247.60855865478516,,
705,0,Mul,225.4623260498047,,
705,0,Sub,48.29246520996094,,
705,0,FCOM,22.14623260498047,,
705,0,SHUFFLE,177.16986083984375,,
705,0,UNPACK,88.58493041992188,,
705,0,FMA,0,,
705,0,ABS,0,,
705,0,DIV,0,,
705,0,MIN,0,,
705,0,MAX,0,,
705,0,SQRT,0,,
705,0,SAD,0,,
705,0,SCALE,0,,
705,0,SIGN,0,,
705,0,RECCP,0,,
705,0,Mov,0,,
706,0,Add,378.48595428466797,,
706,0,Send,246.60855865478516,,
706,0,Mul,223.4623260498047,,
706,0,Sub,46.29246520996094,,
706,0,FCOM,22.14623260498047,,
706,0,SHUFFLE,177.16986083984375,,
706,0,UNPACK,88.58493041992188,,
706,0,FMA,0,,
706,0,ABS,0,,
706,0,DIV,0,,
706,0,MIN,0,,
706,0,MAX,0,,
706,0,SQRT,0,,
706,0,SAD,0,,
706,0,SCALE,0,,
706,0,SIGN,0,,
706,0,RECCP,0,,
706,0,Mov,0,,
707,0,Send,245.60855865478516,,
707,0,Add,377.48595428466797,,
707,0,Mul,222.4623260498047,,
707,0,FCOM,22.14623260498047,,
707,0,SHUFFLE,177.16986083984375,,
707,0,Sub,44.29246520996094,,
707,0,UNPACK,88.58493041992188,,
707,0,FMA,0,,
707,0,ABS,0,,
707,0,DIV,0,,
707,0,MIN,0,,
707,0,MAX,0,,
707,0,SQRT,0,,
707,0,SAD,0,,
707,0,SCALE,0,,
707,0,SIGN,0,,
707,0,RECCP,0,,
707,0,Mov,0,,
708,0,Add,376.48595428466797,,
708,0,FCOM,22.14623260498047,,
708,0,Mul,221.4623260498047,,
708,0,SHUFFLE,177.16986083984375,,
708,0,Sub,44.29246520996094,,
708,0,UNPACK,88.58493041992188,,
708,0,Send,243.60855865478516,,
708,0,FMA,0,,
708,0,ABS,0,,
708,0,DIV,0,,
708,0,MIN,0,,
708,0,MAX,0,,
708,0,SQRT,0,,
708,0,SAD,0,,
708,0,SCALE,0,,
708,0,SIGN,0,,
708,0,RECCP,0,,
708,0,Mov,0,,
577,0,Add,265.7547912597656,,
577,0,Send,243.60855865478516,,
577,0,Mul,110.73116302490234,,
577,0,FMA,0,,
577,0,Sub,0,,
577,0,ABS,0,,
577,0,DIV,0,,
577,0,MIN,0,,
577,0,MAX,0,,
577,0,SQRT,0,,
577,0,SAD,0,,
577,0,SCALE,0,,
577,0,SIGN,0,,
577,0,RECCP,0,,
577,0,Mov,0,,
551,0,Add,5.7,,
551,0,Send,88.28,,
551,0,Mul,0.57,,
551,0,Sub,0.57,,
551,0,FMA,0,,
551,0,ABS,0,,
551,0,DIV,0,,
551,0,MIN,0,,
551,0,MAX,0,,
551,0,SQRT,0,,
551,0,SAD,0,,
551,0,SCALE,0,,
551,0,SIGN,0,,
551,0,RECCP,0,,
551,0,Mov,0,,
691,0,Add,5.7,,
691,0,Send,88.28,,
691,0,Mul,0.57,,
691,0,Sub,0.57,,
691,0,FMA,0,,
691,0,ABS,0,,
691,0,DIV,0,,
691,0,MIN,0,,
691,0,MAX,0,,
691,0,SQRT,0,,
691,0,SAD,0,,
691,0,SCALE,0,,
691,0,SIGN,0,,
691,0,RECCP,0,,
691,0,Mov,0,,
692,0,Send,53.51,,
692,0,Add,1.14,,
692,0,FMA,0,,
692,0,Mul,0,,
692,0,Sub,0,,
692,0,ABS,0,,
692,0,DIV,0,,
692,0,MIN,0,,
692,0,MAX,0,,
692,0,SQRT,0,,
692,0,SAD,0,,
692,0,SCALE,0,,
692,0,SIGN,0,,
692,0,RECCP,0,,
692,0,Mov,0,,
693,0,Send,53.51,,
693,0,Add,1.14,,
693,0,FMA,0,,
693,0,Mul,0,,
693,0,Sub,0,,
693,0,ABS,0,,
693,0,DIV,0,,
693,0,MIN,0,,
693,0,MAX,0,,
693,0,SQRT,0,,
693,0,SAD,0,,
693,0,SCALE,0,,
693,0,SIGN,0,,
693,0,RECCP,0,,
693,0,Mov,0,,
694,0,Send,53.51,,
694,0,Add,1.14,,
694,0,FMA,0,,
694,0,Mul,0,,
694,0,Sub,0,,
694,0,ABS,0,,
694,0,DIV,0,,
694,0,MIN,0,,
694,0,MAX,0,,
694,0,SQRT,0,,
694,0,SAD,0,,
694,0,SCALE,0,,
694,0,SIGN,0,,
694,0,RECCP,0,,
694,0,Mov,0,,
552,0,Send,52.94,,
552,0,Add,1.14,,
552,0,FMA,0,,
552,0,Mul,0,,
552,0,Sub,0,,
552,0,ABS,0,,
552,0,DIV,0,,
552,0,MIN,0,,
552,0,MAX,0,,
552,0,SQRT,0,,
552,0,SAD,0,,
552,0,SCALE,0,,
552,0,SIGN,0,,
552,0,RECCP,0,,
552,0,Mov,0,,
561,0,Send,44.96,,
561,0,FMA,0,,
561,0,Add,0,,
561,0,Mul,0,,
561,0,Sub,0,,
561,0,ABS,0,,
561,0,DIV,0,,
561,0,MIN,0,,
561,0,MAX,0,,
561,0,SQRT,0,,
561,0,SAD,0,,
561,0,SCALE,0,,
561,0,SIGN,0,,
561,0,RECCP,0,,
561,0,Mov,0,,
