region_id,estimation_id,data_type,operations_per_second,operations_count,arithmetic_intensity
992,0,int32,808534896013.744,11611004.0,
992,0,int64,0.0,0,
992,0,float32,16280402927698.662,233795504.0,
992,0,float64,0.0,0,
993,0,int32,808534896013.744,11611004.0,
993,0,int64,0.0,0,
993,0,float32,16280224661518.254,233792944.0,
993,0,float64,0.0,0,
994,0,int32,808534896013.744,11611004.0,
994,0,int64,0.0,0,
994,0,float32,16207206834022.672,232744368.0,
994,0,float64,0.0,0,
995,0,int32,808534896013.744,11611004.0,
995,0,int64,0.0,0,
995,0,float32,16170697920274.88,232220080.0,
995,0,float64,0.0,0,
829,0,int32,404267448006.872,5805502.0,
829,0,int64,0.0,0,
829,0,float32,6468279168109.952,92888032.0,
829,0,float64,0.0,0,
756,0,int32,2057357303.2527945,14397192.0,
756,0,int64,0.0,0,
756,0,float32,0.0,0,
756,0,float64,0.0,0,
975,0,int32,2057357303.2527945,14397192.0,
975,0,int64,0.0,0,
975,0,float32,0.0,0,
975,0,float64,0.0,0,
757,0,int32,2057267133.415624,14396561.0,
757,0,int64,0.0,0,
757,0,float32,0.0,0,
757,0,float64,0.0,0,
764,0,int32,2057252271.8259795,14396457.0,
764,0,int64,0.0,0,
764,0,float32,0.0,0,
764,0,float64,0.0,0,
774,0,int32,2057252128.926079,14396456.0,
774,0,int64,0.0,0,
774,0,float32,0.0,0,
774,0,float64,0.0,0,
976,0,int32,15861.88894758507,111.0,
976,0,int64,0.0,0,
976,0,float32,0.0,0,
976,0,float64,0.0,0,
977,0,int32,15861.88894758507,111.0,
977,0,int64,0.0,0,
977,0,float32,0.0,0,
977,0,float64,0.0,0,
978,0,int32,15861.88894758507,111.0,
978,0,int64,0.0,0,
978,0,float32,0.0,0,
978,0,float64,0.0,0,
775,0,int32,15861.88894758507,111.0,
775,0,int64,0.0,0,
775,0,float32,0.0,0,
775,0,float64,0.0,0,
1280,0,int32,1000.2993030008603,7.0,
1280,0,int64,0.0,0,
1280,0,float32,0.0,0,
1280,0,float64,0.0,0,
807,0,int32,714.4995021434717,5.0,
807,0,int64,0.0,0,
807,0,float32,0.0,0,
807,0,float64,0.0,0,
808,0,int32,714.4995021434717,5.0,
808,0,int64,0.0,0,
808,0,float32,0.0,0,
808,0,float64,0.0,0,
809,0,int32,0.0,0,
809,0,int64,0.0,0,
809,0,float32,0.0,0,
809,0,float64,0.0,0,
784,0,int32,0.0,0,
784,0,int64,0.0,0,
784,0,float32,0.0,0,
784,0,float64,0.0,0,
